Date,cve_station,parameter,value,unit
2020-01-01 01:00:00,CHO,UVA,0.0,17
2020-01-01 01:00:00,CUT,UVA,0.0,170
2020-01-01 01:00:00,LAA,UVA,0.0,17
2020-01-01 01:00:00,MON,UVA,0.0,17
2020-01-01 01:00:00,PED,UVA,0.0,17
2020-01-01 01:00:00,SAG,UVA,0.0,17
2020-01-01 01:00:00,SFE,UVA,0.0,17
2020-01-01 02:00:00,CHO,UVA,0.0,17
2020-01-01 02:00:00,CUT,UVA,0.0,17
2020-01-01 02:00:00,LAA,UVA,0.0,17
2020-01-01 02:00:00,MON,UVA,0.0,17
2020-01-01 02:00:00,PED,UVA,0.0,17
2020-01-01 02:00:00,SAG,UVA,0.0,17
2020-01-01 02:00:00,SFE,UVA,0.0,17
2020-01-01 03:00:00,CHO,UVA,0.0,17
2020-01-01 03:00:00,CUT,UVA,0.0,17
2020-01-01 03:00:00,LAA,UVA,0.0,17
2020-01-01 03:00:00,MON,UVA,0.0,17
2020-01-01 03:00:00,PED,UVA,0.0,17
2020-01-01 03:00:00,SAG,UVA,0.0,17
2020-01-01 03:00:00,SFE,UVA,0.0,17
2020-01-01 04:00:00,CHO,UVA,0.0,17
2020-01-01 04:00:00,CUT,UVA,0.0,17
2020-01-01 04:00:00,LAA,UVA,0.0,17
2020-01-01 04:00:00,MON,UVA,0.0,17
2020-01-01 04:00:00,PED,UVA,0.0,17
2020-01-01 04:00:00,SAG,UVA,0.0,17
2020-01-01 04:00:00,SFE,UVA,0.0,17
2020-01-01 05:00:00,CHO,UVA,0.0,17
2020-01-01 05:00:00,CUT,UVA,0.0,17
2020-01-01 05:00:00,LAA,UVA,0.0,17
2020-01-01 05:00:00,MON,UVA,0.0,17
2020-01-01 05:00:00,PED,UVA,0.0,17
2020-01-01 05:00:00,SAG,UVA,0.0,17
2020-01-01 05:00:00,SFE,UVA,0.0,17
2020-01-01 06:00:00,CHO,UVA,0.0,17
2020-01-01 06:00:00,CUT,UVA,0.0,17
2020-01-01 06:00:00,LAA,UVA,0.0,17
2020-01-01 06:00:00,MON,UVA,0.0,17
2020-01-01 06:00:00,PED,UVA,0.0,17
2020-01-01 06:00:00,SAG,UVA,0.0,17
2020-01-01 06:00:00,SFE,UVA,0.0,17
2020-01-01 07:00:00,CHO,UVA,0.0104,17
2020-01-01 07:00:00,CUT,UVA,0.0,17
2020-01-01 07:00:00,LAA,UVA,0.0045,17
2020-01-01 07:00:00,MON,UVA,0.002,17
2020-01-01 07:00:00,PED,UVA,0.0123,17
2020-01-01 07:00:00,SAG,UVA,0.0,17
2020-01-01 07:00:00,SFE,UVA,0.0,17
2020-01-01 08:00:00,CHO,UVA,0.115,17
2020-01-01 08:00:00,CUT,UVA,0.112,17
2020-01-01 08:00:00,LAA,UVA,0.073,17
2020-01-01 08:00:00,MON,UVA,0.169,17
2020-01-01 08:00:00,PED,UVA,0.16,17
2020-01-01 08:00:00,SAG,UVA,0.134,17
2020-01-01 08:00:00,SFE,UVA,0.157,17
2020-01-01 09:00:00,CHO,UVA,0.765,17
2020-01-01 09:00:00,CUT,UVA,0.654,17
2020-01-01 09:00:00,LAA,UVA,0.651,17
2020-01-01 09:00:00,MON,UVA,0.963,17
2020-01-01 09:00:00,PED,UVA,0.747,17
2020-01-01 09:00:00,SAG,UVA,0.882,17
2020-01-01 09:00:00,SFE,UVA,0.901,17
2020-01-01 10:00:00,CHO,UVA,1.7,17
2020-01-01 10:00:00,CUT,UVA,1.394,17
2020-01-01 10:00:00,LAA,UVA,1.586,17
2020-01-01 10:00:00,MON,UVA,2.063,17
2020-01-01 10:00:00,PED,UVA,1.674,17
2020-01-01 10:00:00,SAG,UVA,1.991,17
2020-01-01 10:00:00,SFE,UVA,1.907,17
2020-01-01 11:00:00,CHO,UVA,2.571,17
2020-01-01 11:00:00,CUT,UVA,2.243,17
2020-01-01 11:00:00,LAA,UVA,2.435,17
2020-01-01 11:00:00,MON,UVA,3.1,17
2020-01-01 11:00:00,PED,UVA,2.594,17
2020-01-01 11:00:00,SAG,UVA,3.057,17
2020-01-01 11:00:00,SFE,UVA,2.837,17
2020-01-01 12:00:00,CHO,UVA,3.181,17
2020-01-01 12:00:00,CUT,UVA,3.553,17
2020-01-01 12:00:00,LAA,UVA,3.097,17
2020-01-01 12:00:00,MON,UVA,3.803,17
2020-01-01 12:00:00,PED,UVA,3.346,17
2020-01-01 12:00:00,SAG,UVA,3.744,17
2020-01-01 12:00:00,SFE,UVA,3.548,17
2020-01-01 13:00:00,CHO,UVA,3.449,17
2020-01-01 13:00:00,CUT,UVA,3.815,17
2020-01-01 13:00:00,LAA,UVA,3.198,17
2020-01-01 13:00:00,MON,UVA,4.092,17
2020-01-01 13:00:00,PED,UVA,3.541,17
2020-01-01 13:00:00,SAG,UVA,3.859,17
2020-01-01 13:00:00,SFE,UVA,3.982,17
2020-01-01 14:00:00,CHO,UVA,3.354,17
2020-01-01 14:00:00,CUT,UVA,3.707,17
2020-01-01 14:00:00,LAA,UVA,3.105,17
2020-01-01 14:00:00,MON,UVA,3.944,17
2020-01-01 14:00:00,PED,UVA,3.682,17
2020-01-01 14:00:00,SAG,UVA,3.772,17
2020-01-01 14:00:00,SFE,UVA,3.956,17
2020-01-01 15:00:00,CHO,UVA,2.916,17
2020-01-01 15:00:00,CUT,UVA,3.094,17
2020-01-01 15:00:00,LAA,UVA,2.567,17
2020-01-01 15:00:00,MON,UVA,3.368,17
2020-01-01 15:00:00,PED,UVA,3.279,17
2020-01-01 15:00:00,SAG,UVA,3.165,17
2020-01-01 15:00:00,SFE,UVA,3.428,17
2020-01-01 16:00:00,CHO,UVA,1.929,17
2020-01-01 16:00:00,CUT,UVA,2.499,17
2020-01-01 16:00:00,LAA,UVA,1.853,17
2020-01-01 16:00:00,MON,UVA,2.512,17
2020-01-01 16:00:00,PED,UVA,2.514,17
2020-01-01 16:00:00,SAG,UVA,2.314,17
2020-01-01 16:00:00,SFE,UVA,2.555,17
2020-01-01 17:00:00,CHO,UVA,1.116,17
2020-01-01 17:00:00,CUT,UVA,1.164,17
2020-01-01 17:00:00,LAA,UVA,0.924,17
2020-01-01 17:00:00,MON,UVA,1.468,17
2020-01-01 17:00:00,PED,UVA,1.451,17
2020-01-01 17:00:00,SAG,UVA,1.406,17
2020-01-01 17:00:00,SFE,UVA,1.488,17
2020-01-01 18:00:00,CHO,UVA,0.23,17
2020-01-01 18:00:00,CUT,UVA,0.451,17
2020-01-01 18:00:00,LAA,UVA,0.364,17
2020-01-01 18:00:00,MON,UVA,0.493,17
2020-01-01 18:00:00,PED,UVA,0.495,17
2020-01-01 18:00:00,SAG,UVA,0.463,17
2020-01-01 18:00:00,SFE,UVA,0.52,17
2020-01-01 19:00:00,CHO,UVA,0.024,17
2020-01-01 19:00:00,CUT,UVA,0.022,17
2020-01-01 19:00:00,LAA,UVA,0.004,17
2020-01-01 19:00:00,MON,UVA,0.024,17
2020-01-01 19:00:00,PED,UVA,0.017,17
2020-01-01 19:00:00,SAG,UVA,0.012,17
2020-01-01 19:00:00,SFE,UVA,0.028,17
2020-01-01 20:00:00,CHO,UVA,0.0,17
2020-01-01 20:00:00,CUT,UVA,0.0,17
2020-01-01 20:00:00,LAA,UVA,0.0,17
2020-01-01 20:00:00,MON,UVA,0.0,17
2020-01-01 20:00:00,PED,UVA,0.0,17
2020-01-01 20:00:00,SAG,UVA,0.0,17
2020-01-01 20:00:00,SFE,UVA,0.0,17
2020-01-01 21:00:00,CHO,UVA,0.0,17
2020-01-01 21:00:00,CUT,UVA,0.0,17
